schema_version,snapshot_date,source_module_label,source_module_api_name,source_field_label,source_field_api_name,source_data_type,source_usage_status,target_module_label,target_module_api_name,target_field_label,target_field_api_name,target_data_type,target_field_status,current_mapping_status,type_compatibility_status,choice_compatibility_status,mapping_review_status,review_reason_code,metadata_verification_status
1,2026-08-05,Leads,Leads,Address,Address,textarea,used,Contacts,Contacts,Address,Address,textarea,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address,Address,textarea,used,Accounts,Accounts,Address,Address,textarea,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address,Address,textarea,used,Deals,Deals,Address,Address,textarea,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - City,Address_City,text,used,Contacts,Contacts,Address - City,Address_City,text,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - City,Address_City,text,used,Accounts,Accounts,Address - City,Address_City,text,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - City,Address_City,text,used,Deals,Deals,Address - City,Address_City,text,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Coordinates,Address_Coordinates,textarea,used,Contacts,Contacts,Address - Coordinates,Address_Coordinates,textarea,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Coordinates,Address_Coordinates,textarea,used,Accounts,Accounts,Address - Coordinates,Address_Coordinates,textarea,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Coordinates,Address_Coordinates,textarea,used,Deals,Deals,Address - Coordinates,Address_Coordinates,textarea,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Latitude,Address_Coordinates_Latitude,double,used,Contacts,Contacts,Address - Latitude,Address_Coordinates_Latitude,double,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Latitude,Address_Coordinates_Latitude,double,used,Accounts,Accounts,Address - Latitude,Address_Coordinates_Latitude,double,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Latitude,Address_Coordinates_Latitude,double,used,Deals,Deals,Address - Latitude,Address_Coordinates_Latitude,double,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Longitude,Address_Coordinates_Longitude,double,used,Contacts,Contacts,Address - Longitude,Address_Coordinates_Longitude,double,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Longitude,Address_Coordinates_Longitude,double,used,Accounts,Accounts,Address - Longitude,Address_Coordinates_Longitude,double,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Longitude,Address_Coordinates_Longitude,double,used,Deals,Deals,Address - Longitude,Address_Coordinates_Longitude,double,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Country / Region,Address_Country_Region,picklist,used,Contacts,Contacts,Address - Country / Region,Address_Country_Region,picklist,existing_used,mapped,exact,exact,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Country / Region,Address_Country_Region,picklist,used,Accounts,Accounts,Address - Country / Region,Address_Country_Region,picklist,existing_used,mapped,exact,exact,safe_keep,conditional_address,verified
