schema_version,snapshot_date,module_api_name,layout_name,layout_api_name,layout_status,section_mode,section_sequence,section_label,section_api_name,column_count,field_sequence,field_source_ordinal,field_label,layout_display_label,field_api_name,data_type,default_value_status,required_status,read_only_status,field_read_only_status,api_write_status,metadata_verification_status
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,1,Lead Image,Record_Image__s,1,1,1,Lead Image,Record Image,Record_Image,profileimage,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,2,Lead Summary,Lead_Summary,2,1,1,Lifecycle Status,Lifecycle Status,Lifecycle_Status,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,2,Lead Summary,Lead_Summary,2,2,2,Lead Status,Lead Status,Lead_Status,picklist,not_exposed,required,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,2,Lead Summary,Lead_Summary,2,3,3,ICP Fit,ICP Fit,ICP_Fit,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,2,Lead Summary,Lead_Summary,2,4,4,Rating,Rating,Rating,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,2,Lead Summary,Lead_Summary,2,5,5,Lead Owner,Lead Owner,Owner,ownerlookup,not_exposed,optional,false,true,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,2,Lead Summary,Lead_Summary,2,6,6,Lead Source,Lead Source,Lead_Source,picklist,not_exposed,required,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,2,Lead Summary,Lead_Summary,2,7,7,Referral Source Contact,Referral Source Contact,Referral_Source_Name,lookup,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,2,Lead Summary,Lead_Summary,2,8,8,Next Action,Next Action,Next_Action,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,2,Lead Summary,Lead_Summary,2,9,9,Next Outreach At,Next Outreach At,Next_Outreach_At,datetime,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,2,Lead Summary,Lead_Summary,2,10,10,Nurture Reason,Nurture Reason,Nurture_Reason,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,2,Lead Summary,Lead_Summary,2,11,11,Disqualification Reason,Disqualification Reason,Disqualification_Reason,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,3,Company,Source_And_Qualification,2,1,1,Company,Company,Company,text,not_exposed,required,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,3,Company,Source_And_Qualification,2,2,2,Website,Website,Website,website,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,3,Company,Source_And_Qualification,2,3,3,Company Phone,Company Phone,Main_Business_Phone,phone,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,3,Company,Source_And_Qualification,2,4,4,Company LinkedIn,Company LinkedIn,Company_LinkedIn,website,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,3,Company,Source_And_Qualification,2,5,5,Industry,Industry,Industry,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,3,Company,Source_And_Qualification,2,6,6,Company Email,Company Email,Company_Email,email,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,3,Company,Source_And_Qualification,2,7,7,No. of Employees,No. of Employees,No_of_Employees,integer,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,3,Company,Source_And_Qualification,2,8,8,Field Team Size Band,Field Team Size Band,Field_Team_Size_Band,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,3,Company,Source_And_Qualification,2,9,9,Annual Revenue,Annual Revenue,Annual_Revenue,currency,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,3,Company,Source_And_Qualification,2,10,10,Number of Locations,Number of Locations,Number_of_Locations,integer,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,3,Company,Source_And_Qualification,2,11,11,Scheduling Process,Scheduling Process,Scheduling_Process,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,3,Company,Source_And_Qualification,2,12,12,Primary Operating System,Primary Operating System,Primary_Operating_System,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,1,1,Address,Address,Address,textarea,not_exposed,optional,true,true,read_only,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,1,2,Address - City,Address - City,Address_City,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,1,3,Address - Coordinates,Address - Coordinates,Address_Coordinates,textarea,not_exposed,optional,true,true,read_only,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,1,4,Address - Country / Region,Address - Country / Region,Address_Country_Region,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,1,5,Address - Flat / House No./ Building / Apartment Name,Address - Flat / House No./ Building / Apartment Name,Address_Flat_House_No_Building_Apartment_Name,text,not_exposed,optional,false,false,writable,verified_live_read_only
