schema_version,snapshot_date,module_api_name,field_label,field_api_name,field_data_type,option_scope,display_value,actual_value,reference_value,option_sequence,sequence_variants,sequence_status,usage_status,default_status,colour_code,option_source,metadata_verification_status
2,2026-08-14,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,module,-None-,-None-,,1,1,verified_field_metadata,used,unknown_not_exposed,,field_metadata,verified_live_read_only
2,2026-08-14,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,module,Not Audited,Not Audited,,2,2,verified_field_metadata,used,unknown_not_exposed,#acacac,field_metadata,verified_live_read_only
2,2026-08-14,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,module,Voicemail / No Answer,Voicemail / No Answer,,3,3,verified_field_metadata,used,unknown_not_exposed,#eb4d4d,field_metadata,verified_live_read_only
2,2026-08-14,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,module,IVR,IVR,,4,4,verified_field_metadata,used,unknown_not_exposed,#f5c72f,field_metadata,verified_live_read_only
2,2026-08-14,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,module,Live Staff,Live Staff,,5,5,verified_field_metadata,used,unknown_not_exposed,#67c480,field_metadata,verified_live_read_only
2,2026-08-14,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,module,Answering Service,Answering Service,,6,6,verified_field_metadata,used,unknown_not_exposed,#5cb3fd,field_metadata,verified_live_read_only
2,2026-08-14,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,module,AI Receptionist,AI Receptionist,,7,7,verified_field_metadata,used,unknown_not_exposed,#5d4ffb,field_metadata,verified_live_read_only
2,2026-08-14,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,module,Mixed,Mixed,,8,8,verified_field_metadata,used,unknown_not_exposed,#f5c72f,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Commercial Fit,Budget_Fit,picklist,module,-None-,-None-,,1,1,verified_field_metadata,used,unknown_not_exposed,,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Commercial Fit,Budget_Fit,picklist,module,Fit,Fit,,2,2,verified_field_metadata,used,unknown_not_exposed,#67c480,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Commercial Fit,Budget_Fit,picklist,module,Maybe,Maybe,,3,3,verified_field_metadata,used,unknown_not_exposed,#f5c72f,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Commercial Fit,Budget_Fit,picklist,module,Not Fit,Not Fit,,4,4,verified_field_metadata,used,unknown_not_exposed,#eb4d4d,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Commercial Fit,Budget_Fit,picklist,module,Unknown,Unknown,,5,5,verified_field_metadata,used,unknown_not_exposed,#acacac,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Contact Location Link,Contact_Location_Relationship,picklist,module,-None-,-None-,,1,1,verified_field_metadata,used,unknown_not_exposed,,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Contact Location Link,Contact_Location_Relationship,picklist,module,At Target Location,At Target Location,,2,2,verified_field_metadata,used,unknown_not_exposed,,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Contact Location Link,Contact_Location_Relationship,picklist,module,Different Company Site,Different Company Site,,3,3,verified_field_metadata,used,unknown_not_exposed,,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Contact Location Link,Contact_Location_Relationship,picklist,module,Remote / No Fixed Office,Remote / No Fixed Office,,4,4,verified_field_metadata,used,unknown_not_exposed,,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Contact Location Link,Contact_Location_Relationship,picklist,module,Unknown,Unknown,,5,5,verified_field_metadata,used,unknown_not_exposed,,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Contact Verification,Contact_Verification_Status,picklist,module,-None-,-None-,,1,1,verified_field_metadata,used,unknown_not_exposed,,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Contact Verification,Contact_Verification_Status,picklist,module,Verified Current,Verified Current,,2,2,verified_field_metadata,used,unknown_not_exposed,#67c480,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Contact Verification,Contact_Verification_Status,picklist,module,Likely Current,Likely Current,,3,3,verified_field_metadata,used,unknown_not_exposed,#f5c72f,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Contact Verification,Contact_Verification_Status,picklist,module,Unverified,Unverified,,4,4,verified_field_metadata,used,unknown_not_exposed,#acacac,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Contact Verification,Contact_Verification_Status,picklist,module,Conflicting,Conflicting,,5,5,verified_field_metadata,used,unknown_not_exposed,#eb4d4d,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Contact Verification,Contact_Verification_Status,picklist,module,Not Found,Not Found,,6,6,verified_field_metadata,used,unknown_not_exposed,#666666,field_metadata,verified_live_read_only
2,2026-08-14,Leads,Coverage Needs,Coverage_Needs,multiselectpicklist,module,After-Hours,After-Hours,,1,1,verified_field_metadata,used,unknown_not_exposed,,field_metadata,verified_live_read_only
