schema_version,snapshot_date,source_module_label,source_module_api_name,source_field_label,source_field_api_name,source_data_type,source_usage_status,target_module_label,target_module_api_name,target_field_label,target_field_api_name,target_data_type,target_field_status,current_mapping_status,type_compatibility_status,choice_compatibility_status,review_status,metadata_verification_status
2,2026-08-14,Leads,Leads,Address,Address,textarea,used,Contacts,Contacts,Address,Address,textarea,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address,Address,textarea,used,Accounts,Accounts,Billing Address,Address,textarea,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address,Address,textarea,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - City,Address_City,text,used,Contacts,Contacts,Address - City,Address_City,text,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - City,Address_City,text,used,Accounts,Accounts,Billing Address - City,Address_City,text,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - City,Address_City,text,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Coordinates,Address_Coordinates,textarea,used,Contacts,Contacts,Address - Coordinates,Address_Coordinates,textarea,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Coordinates,Address_Coordinates,textarea,used,Accounts,Accounts,Billing Address - Coordinates,Address_Coordinates,textarea,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Coordinates,Address_Coordinates,textarea,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Latitude,Address_Coordinates_Latitude,double,used,Contacts,Contacts,Address - Latitude,Address_Coordinates_Latitude,double,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Latitude,Address_Coordinates_Latitude,double,used,Accounts,Accounts,Billing Address - Latitude,Address_Coordinates_Latitude,double,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Latitude,Address_Coordinates_Latitude,double,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Longitude,Address_Coordinates_Longitude,double,used,Contacts,Contacts,Address - Longitude,Address_Coordinates_Longitude,double,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Longitude,Address_Coordinates_Longitude,double,used,Accounts,Accounts,Billing Address - Longitude,Address_Coordinates_Longitude,double,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Longitude,Address_Coordinates_Longitude,double,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Country / Region,Address_Country_Region,picklist,used,Contacts,Contacts,Address - Country / Region,Address_Country_Region,picklist,existing_used,mapped,exact,exact_active_actual_values,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Country / Region,Address_Country_Region,picklist,used,Accounts,Accounts,Billing Address - Country / Region,Address_Country_Region,picklist,existing_used,mapped,exact,exact_active_actual_values,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Country / Region,Address_Country_Region,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Flat / House No./ Building / Apartment Name,Address_Flat_House_No_Building_Apartment_Name,text,used,Contacts,Contacts,Address - Flat / House No./ Building / Apartment Name,Address_Flat_House_No_Building_Apartment_Name,text,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Flat / House No./ Building / Apartment Name,Address_Flat_House_No_Building_Apartment_Name,text,used,Accounts,Accounts,Billing Address - Flat / House No./ Building / Apartment Name,Address_Flat_House_No_Building_Apartment_Name,text,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Flat / House No./ Building / Apartment Name,Address_Flat_House_No_Building_Apartment_Name,text,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - State / Province,Address_State_Province,picklist,used,Contacts,Contacts,Address - State / Province,Address_State_Province,picklist,existing_used,mapped,exact,exact_active_actual_values,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - State / Province,Address_State_Province,picklist,used,Accounts,Accounts,Billing Address - State / Province,Address_State_Province,picklist,existing_used,mapped,exact,exact_active_actual_values,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - State / Province,Address_State_Province,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Street Address,Address_Street_Address,text,used,Contacts,Contacts,Address - Street Address,Address_Street_Address,text,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Street Address,Address_Street_Address,text,used,Accounts,Accounts,Billing Address - Street Address,Address_Street_Address,text,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Street Address,Address_Street_Address,text,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Zip / Postal Code,Address_Zip_Postal_Code,text,used,Contacts,Contacts,Address - Zip / Postal Code,Address_Zip_Postal_Code,text,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Zip / Postal Code,Address_Zip_Postal_Code,text,used,Accounts,Accounts,Billing Address - Zip / Postal Code,Address_Zip_Postal_Code,text,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Address - Zip / Postal Code,Address_Zip_Postal_Code,text,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,After-Hours Audit At,After_Hours_Audit_At,datetime,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,After-Hours Audit At,After_Hours_Audit_At,datetime,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,After-Hours Audit At,After_Hours_Audit_At,datetime,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,After-Hours Audit Notes,After_Hours_Audit_Notes,textarea,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,After-Hours Audit Notes,After_Hours_Audit_Notes,textarea,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,After-Hours Audit Notes,After_Hours_Audit_Notes,textarea,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,After-Hours Call Band,After_Hours_Call_Band,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,After-Hours Call Band,After_Hours_Call_Band,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,After-Hours Call Band,After_Hours_Call_Band,picklist,used,Deals,Deals,After-Hours Call Band,After_Hours_Call_Band,picklist,existing_used,mapped,exact,exact_active_actual_values,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Annual Revenue,Annual_Revenue,currency,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Annual Revenue,Annual_Revenue,currency,used,Accounts,Accounts,Annual Revenue,Annual_Revenue,currency,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Annual Revenue,Annual_Revenue,currency,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Average Job Value Band,Average_Job_Value_Band,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Average Job Value Band,Average_Job_Value_Band,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Average Job Value Band,Average_Job_Value_Band,picklist,used,Deals,Deals,Average Job Value Band,Average_Job_Value_Band,picklist,existing_used,mapped,exact,exact_active_actual_values,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Average Time Spent (Minutes),Average_Time_Spent_Minutes,double,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Average Time Spent (Minutes),Average_Time_Spent_Minutes,double,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Average Time Spent (Minutes),Average_Time_Spent_Minutes,double,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Commercial Fit,Budget_Fit,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Commercial Fit,Budget_Fit,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Commercial Fit,Budget_Fit,picklist,used,Deals,Deals,Commercial Fit,Budget_Fit,picklist,existing_used,mapped,exact,exact_active_actual_values,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Change Log Time,Change_Log_Time__s,datetime,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Change Log Time,Change_Log_Time__s,datetime,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Change Log Time,Change_Log_Time__s,datetime,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,City,City,text,unused,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,City,City,text,unused,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,City,City,text,unused,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Company,Company,text,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Company,Company,text,used,Accounts,Accounts,Account Name,Account_Name,text,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Company,Company,text,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Company Email,Company_Email,email,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Company Email,Company_Email,email,used,Accounts,Accounts,Company Email,Company_Email,email,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Company Email,Company_Email,email,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Company LinkedIn,Company_LinkedIn,website,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Company LinkedIn,Company_LinkedIn,website,used,Accounts,Accounts,Company LinkedIn,Company_LinkedIn,website,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Company LinkedIn,Company_LinkedIn,website,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Location Link,Contact_Location_Relationship,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Location Link,Contact_Location_Relationship,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Location Link,Contact_Location_Relationship,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Source URL,Contact_Source_URL,website,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Source URL,Contact_Source_URL,website,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Source URL,Contact_Source_URL,website,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Verification,Contact_Verification_Status,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Verification,Contact_Verification_Status,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Verification,Contact_Verification_Status,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Verified At,Contact_Verified_At,datetime,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Verified At,Contact_Verified_At,datetime,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Verified At,Contact_Verified_At,datetime,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
